,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
94,sorted_bam/CRITICAL_MASS_CBD_RSP10012_Drug_CBD_sorted.bam,0.037563414,-0.03900078,0.011919242,-0.014837396,CRITICAL_MASS_CBD_Type II_F_RSP10012,Type II
100,sorted_bam/Diana_2_RSP10235_Unknown_sorted.bam,2.28E-48,4.81E-50,-8.01E-49,7.41E-49,Diana_2_Type II_F_RSP10235,Type II
110,sorted_bam/Dutch_Treat_Haze_RSP10197_Drug_THC_sorted.bam,0.014542208,-0.067068171,-0.005129491,-0.010679993,Dutch_Treat_Haze_Type II_F_RSP10197,Type II
115,sorted_bam/F_CANCER_RSP10080_Drug_CBD_sorted.bam,-0.077319271,0.007231667,-0.020275451,0.018979794,F_CANCER_Type II_F_RSP10080,Type II
119,sorted_bam/Fire_Angel_1_RSP10298_Drug_THC_CBD_sorted.bam,0.060226068,-0.05406175,-0.037930717,0.024906228,Fire_Angel_1_Type II_F_RSP10298,Type II
120,sorted_bam/Fire_Angel_2_RSP10611_Drug_THC_CBD_sorted.bam,0.056510669,-0.050225555,-0.029855754,0.027557613,Fire_Angel_2_Type II_F_RSP10611,Type II
142,sorted_bam/GUERILLA_MEDS_RSP10083_Drug_CBD_sorted.bam,0.039634486,-0.02765307,0.086118487,-0.079973818,GUERILLA_MEDS_Type II_F_RSP10083,Type II
145,sorted_bam/HARLEQUIN_CBD_RSP10076_Drug_CBD_sorted.bam,0.043286757,-0.061889084,0.006315483,-0.037906205,HARLEQUIN_CBD_Type II_F_RSP10076,Type II
146,sorted_bam/Harlequin_RSP10140_Drug_THC_CBD_sorted.bam,0.041731131,-0.064473112,0.004299802,-0.032413123,Harlequin_Type II_F_RSP10140,Type II
214,sorted_bam/PINEAPPLE_TSU_1_RSP10075_Drug_CBD_sorted.bam,0.049765924,-0.010911657,-0.018235484,0.031085085,PINEAPPLE_TSU_1_Type II_F_RSP10075,Type II
227,sorted_bam/Red_Eye_OG_RSP10589_Drug_THC_CBD_sorted.bam,-0.12658284,0.023514037,-0.049959509,-0.060392275,Red_Eye_OG_Type II_F_RSP10589,Type II
246,sorted_bam/Sour_Tsunami_3_RSP10607_Drug_THC_sorted.bam,0.062657751,0.076494483,-0.024513142,0.015289865,Sour_Tsunami_3_Type II_F_RSP10607,Type II
