name,hcpc_order,check,BAR
C4_x_Canna_Tsu_no info_M_RSP10383,204,C4_x_Canna_Tsu_no info_M_RSP10383,no info
VITAMIN_CBD_Type II_F_RSP10078,205,VITAMIN_CBD_Type II_F_RSP10078,Type II
Ghost_Train_Haze_Type I_not reported_RSP10604,206,Ghost_Train_Haze_Type I_not reported_RSP10604,Type I
Tahoe_OG_no info_M_RSP10393,207,Tahoe_OG_no info_M_RSP10393,no info
OG_Kush_X_Bubba_Kush_no info_M_RSP10394,208,OG_Kush_X_Bubba_Kush_no info_M_RSP10394,no info
New_York_Sour_Diesel_Type I_F_RSP10599,209,New_York_Sour_Diesel_Type I_F_RSP10599,Type I
Mount_Jones_5_Type I_F_RSP10964,210,Mount_Jones_5_Type I_F_RSP10964,Type I
Crocketts_Haze_22_Type I_F_RSP10542,211,Crocketts_Haze_22_Type I_F_RSP10542,Type I
Tangie_2_no info_M_RSP10349,212,Tangie_2_no info_M_RSP10349,no info
Sour_Diesel_X_Unknown_1_no info_not reported_RSP10403,213,Sour_Diesel_X_Unknown_1_no info_not reported_RSP10403,no info
Blue_Dream_1_no info_M_RSP10005,214,Blue_Dream_1_no info_M_RSP10005,no info
Hells_Fire_no info_M_RSP10377,215,Hells_Fire_no info_M_RSP10377,no info
Krishna_Kush_Type I_not reported_RSP10519,216,Krishna_Kush_Type I_not reported_RSP10519,Type I
Girl_Scout_Cookies_1_no info_F_RSP10124,217,Girl_Scout_Cookies_1_no info_F_RSP10124,no info
Glue_on_Fire_1_Type I_F_RSP10592,218,Glue_on_Fire_1_Type I_F_RSP10592,Type I
TRIDENT_Type II_F_RSP10074,219,TRIDENT_Type II_F_RSP10074,Type II
Mang_Thai_Doo_Type I_F_RSP10178,220,Mang_Thai_Doo_Type I_F_RSP10178,Type I
E005AMMSG0001_Type I_not reported_RSP10482,221,E005AMMSG0001_Type I_not reported_RSP10482,Type I
Plum_Crazy_Type I_F_RSP10848,222,Plum_Crazy_Type I_F_RSP10848,Type I
Lil_Sebastian_no info_F_RSP10434,223,Lil_Sebastian_no info_F_RSP10434,no info
Unknown_3_no info_F_RSP10417,224,Unknown_3_no info_F_RSP10417,no info
818_no info_F_RSP10411,225,818_no info_F_RSP10411,no info
Triangle_OG_no info_F_RSP10157,226,Triangle_OG_no info_F_RSP10157,no info
Sour_Diesel_no info_F_RSP10182,227,Sour_Diesel_no info_F_RSP10182,no info
Skywalker_OG_1_Type I_not reported_RSP10477,228,Skywalker_OG_1_Type I_not reported_RSP10477,Type I
Headband_no info_F_RSP10154,229,Headband_no info_F_RSP10154,no info
Gupta_Kush_Type I_not reported_RSP10520,230,Gupta_Kush_Type I_not reported_RSP10520,Type I
Chemodo_Dragon_Type I_not reported_RSP10524,231,Chemodo_Dragon_Type I_not reported_RSP10524,Type I
Guptilla_Type I_not reported_RSP10518,232,Guptilla_Type I_not reported_RSP10518,Type I
Butter_OG_no info_F_RSP10181,233,Butter_OG_no info_F_RSP10181,no info
Lemonhead_OG_Type I_F_RSP10180,234,Lemonhead_OG_Type I_F_RSP10180,Type I
Red_Eye_OG_Type II_F_RSP10589,235,Red_Eye_OG_Type II_F_RSP10589,Type II
Face_Off_OG_Type I_F_RSP10146,236,Face_Off_OG_Type I_F_RSP10146,Type I
Chemmy_Jones_no info_F_RSP10131,237,Chemmy_Jones_no info_F_RSP10131,no info
White_Fire_no info_F_RSP10143,238,White_Fire_no info_F_RSP10143,no info
E005AMMPR0001_Type I_not reported_RSP10483,239,E005AMMPR0001_Type I_not reported_RSP10483,Type I
Cherry_Limeade_Type I_F_RSP10170,240,Cherry_Limeade_Type I_F_RSP10170,Type I
Sage_N_Sour_Type I_F_RSP10089,241,Sage_N_Sour_Type I_F_RSP10089,Type I
Orangutan_Type I_F_RSP10701,242,Orangutan_Type I_F_RSP10701,Type I
Girl_Scout_Cookies_3_Type I_F_RSP10246,243,Girl_Scout_Cookies_3_Type I_F_RSP10246,Type I
Blueberry_Cheesecake_5_no info_F_RSP10481,244,Blueberry_Cheesecake_5_no info_F_RSP10481,no info
Blueberry_Cheesecake_6_no info_F_RSP10563,245,Blueberry_Cheesecake_6_no info_F_RSP10563,no info
Dirks_OG_Type I_F_RSP10582,246,Dirks_OG_Type I_F_RSP10582,Type I
OG_Kush_X_San_Fernando_Monster_no info_not reported_RSP10400,247,OG_Kush_X_San_Fernando_Monster_no info_not reported_RSP10400,no info
F_CANCER_Type II_F_RSP10080,248,F_CANCER_Type II_F_RSP10080,Type II
Snoop_Master_Type I_F_RSP10584,249,Snoop_Master_Type I_F_RSP10584,Type I
Lemon_Meringue_OG_no info_not reported_RSP10470,250,Lemon_Meringue_OG_no info_not reported_RSP10470,no info
Cheddar_Head_no info_F_RSP10013,251,Cheddar_Head_no info_F_RSP10013,no info
Clifford_no info_M_RSP10337,252,Clifford_no info_M_RSP10337,no info
Loopy_Fruit_no info_F_RSP10168,253,Loopy_Fruit_no info_F_RSP10168,no info
